Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3d Print","The Main Case",1,0.00,"https://printlegion.hackclub.com/","#printing-legion"
"M3 X 8mm Screw","To fix the Motor with the plate",10,0.15,"https://onlyscrews.in/products/phillips-csk-m3-x-8mm-pack-of-20","onlyscrews"
"608 ZZ - Deep Groove Ball Bearing","For the Disc Movement ",6,0.89,"https://onlyscrews.in/products/608-zz-deep-groove-ball-bearing-6x17x6?currency=INR&country=IN&variant=51122495521081&stkn=6e84ebfba1b8&utm_source=google&utm_medium=cpc&utm_campaign=sales_pmax&utm_id=23949204632&utm_term={adgroup}&gad_source=1&gad_campaignid=23953886635&gbraid=0AAAAA9sP2STO6JIXuDFf70NcKx-0RIccW&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTgWj7okjjQkq-RfmuzYXhnjhvo5wwBPY61b-G7zkL0A9TFV28hsOnxoC5sgQAvD_BwE","onlyscrews"
"DC Power Jack Socket","For the power supply",1,0.27,"https://robu.in/product/2-1x5-5mm-dc-power-jack-dc-socket-panel-mount/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWdFakaJXL2i7e94dK9Uezcpp&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTqkA8r1Pq4PaJO5WuQ4Rl9U9XmGpmrm5kKf-RtuGhJWB8kIIS1177hoC_HYQAvD_BwE","robu"
" DPDT Switch","For ON/OFF the Circuit",1,0.23,"https://robu.in/product/kcd2-202n-lighted-rocker-switch-dpdt-6pinon-on/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWdFakaJXL2i7e94dK9Uezcpp&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTqoZQKr3hHkzAofJ1hZSt8Ri487X6WL-BOI55GCsjSNBhiJpa7GmxxoCMcsQAvD_BwE","robu"
"12V 1A Power Supply ","To Power Circuit",1,2.10,"https://robu.in/product/orange-12v-1a-power-supply-with-5-5mm-dc-plug-adapter/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWcmc4VGxO-bCgX7KkjIMyFLV&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTh4sqdxXt4z4o4TxXu1xboqPb_pc5mt1nxPHCgnoCQ5BdPzHrAuakBoCxRwQAvD_BwE","robu"
"DC Motor Speed Regulator","For controlling the Motor",1,0.90,"https://robu.in/product/3v-6v-12v-24v-35v-pwm-dc-motor-speed-regulator/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWdkIIJcAmBJPbzw_DWZHZzXV&gclid=CjwKCAjw0dPRBhAPEiwAE5vTThMU96YnTO7NRnY9Ll11FROdb83O5_FNF1AfGTO5dxRceBjmm0iwHxoC_swQAvD_BwE","robu"
"Motor (D Type Shaft )","For the Disc Movement",1,6.05,"https://robu.in/product/solid-shaft-jgy370-dc12v-210rpm-min-high-torque-self-locking-strong-wheel-tturbine-worm-reduction-motor/","robu"
